Pokemon,Nat,teamSprite,homeSprite,HP,Atk,Def,SpA,SpD,Spe,Total,Type_I,Type_II,Species,Height,Weight,Ability_I,Ability_Ii,Hidden_Ability,EV_Yield,Egg_Group_I,Egg_Group_Ii,Gender
Bulbasaur,1,bulbasaur.png,1.png,45,49,49,65,65,45,318,Grass,Poison,Seed Pokemon,0.7,6.9,Overgrow,Null,Chlorophyll,1 SpA,Monster,Plant,87.5
Ivysaur,2,ivysaur.png,2.png,60,62,63,80,80,60,405,Grass,Poison,Seed Pokemon,1,13,Overgrow,Null,Chlorophyll,1 SpA/1 SpD,Plant,Monster,87.5
Venusaur,3,venusaur.png,3.png,80,82,83,100,100,80,525,Grass,Poison,Seed Pokemon,2,100,Overgrow,Null,Chlorophyll,2 SpA/1 SpD,Monster,Plant,87.5
Charmander,4,charmander.png,4.png,39,52,43,60,50,65,309,Fire,Null,Lizard Pokemon,0.6,8.5,Blaze,Null,Solar Power,1 Spe,Monster,Dragon,87.5
Charmeleon,5,charmeleon.png,5.png,58,64,58,80,65,80,405,Fire,Null,Flame Pokemon,1.1,19,Blaze,Null,Solar Power,1 SpA/1 Spe,Monster,Dragon,87.5
Charizard,6,charizard.png,6.png,78,84,78,109,85,100,534,Fire,Flying,Flame Pokemon,1.7,90.5,Blaze,Null,Solar Power,3 SpA,Monster,Dragon,87.5
Squirtle,7,squirtle.png,7.png,44,48,65,50,64,43,314,Water,Null,Tiny Turtle Pokemon,0.5,9,Torrent,Null,Rain Dish,1 Def,Monster,Water1,87.5
Wartortle,8,wartortle.png,8.png,59,63,80,65,80,58,405,Water,Null,Turtle Pokemon,1,22.5,Torrent,Null,Rain Dish,1 Def/1 SpD,Monster,Water1,87.5
Blastoise,9,blastoise.png,9.png,79,83,100,85,105,78,530,Water,Null,Shellfish Pokemon,1.6,85.5,Torrent,Null,Rain Dish,3 SpD,Monster,Water1,87.5
Caterpie,10,caterpie.png,10.png,45,30,35,20,20,45,195,Bug,Null,Worm Pokemon,0.3,2.9,Shield Dust,Null,Run Away,1 HP,Bug,Null,50
Metapod,11,metapod.png,11.png,50,20,55,25,25,30,205,Bug,Null,Cocoon Pokemon,0.7,9.9,Shed Skin,Null,Null,2 Def,Bug,Null,50
Butterfree,12,butterfree.png,12.png,60,45,50,90,80,70,395,Bug,Flying,Butterfly Pokemon,1.1,32,Compound Eyes,Null,Tinted Lens,2 SpA/1 SpD,Bug,Null,50
Weedle,13,weedle.png,13.png,40,35,30,20,20,50,195,Bug,Poison,Hairy Bug Pokemon,0.3,3.2,Shield Dust,Null,Run Away,1 Spe,Bug,Null,50
Kakuna,14,kakuna.png,14.png,45,25,50,25,25,35,205,Bug,Poison,Cocoon Pokemon,0.6,10,Shed Skin,Null,Null,2 Def,Bug,Null,50
Beedrill,15,beedrill.png,15.png,65,90,40,45,80,75,395,Bug,Poison,Poison Bee Pokemon,1,29.5,Swarm,Null,Sniper,2 Atk/1 SpD,Bug,Null,50
Pidgey,16,pidgey.png,16.png,40,45,40,35,35,56,251,Normal,Flying,Tiny Bird Pokemon,0.3,1.8,Keen Eye,Tangled Feet,Big Pecks,1 Spe,Flying,Null,50
Pidgeotto,17,pidgeotto.png,17.png,63,60,55,50,50,71,349,Normal,Flying,Bird Pokemon,1.1,30,Keen Eye,Tangled Feet,Big Pecks,2 Spe,Flying,Null,50
Pidgeot,18,pidgeot.png,18.png,83,80,75,70,70,101,479,Normal,Flying,Bird Pokemon,1.5,39.5,Keen Eye,Tangled Feet,Big Pecks,3 Spe,Flying,Null,50
Rattata,19,rattata.png,19.png,30,56,35,25,35,72,253,Normal,Null,Mouse Pokemon,0.3,3.5,Run Away,Guts,Hustle,1 Spe,Ground,Null,50
Rattata-alola,19,rattata-alola.png,19.png,30,56,35,25,35,72,253,Dark,Normal,Mouse Pokemon,0.3,3.8,Run Away,Guts,Hustle,1 Spe,Ground,Null,50
Raticate,20,raticate.png,20.png,55,81,60,50,70,97,413,Normal,Null,Mouse Pokemon,0.7,18.5,Run Away,Guts,Hustle,2 Spe,Ground,Null,50
Raticate-alola,20,raticate-alola.png,20.png,75,71,70,40,80,77,413,Dark,Normal,Mouse Pokemon,0.7,25.5,Run Away,Guts,Hustle,2 Spe,Ground,Null,50
Spearow,21,spearow.png,21.png,40,60,30,31,31,70,262,Normal,Flying,Tiny Bird Pokemon,0.3,2,Keen Eye,Null,Sniper,1 Spe,Flying,Null,50
Fearow,22,fearow.png,22.png,65,90,65,61,61,100,442,Normal,Flying,Beak Pokemon,1.2,38,Keen Eye,Null,Sniper,2 Spe,Flying,Null,50
Ekans,23,ekans.png,23.png,35,60,44,40,54,55,288,Poison,Null,Snake Pokemon,2,6.9,Intimidate,Shed Skin,Unnerve,1 Atk,Ground,Dragon,50
Arbok,24,arbok.png,24.png,60,95,69,65,79,80,448,Poison,Null,Cobra Pokemon,3.5,65,Intimidate,Shed Skin,Unnerve,2 Atk,Ground,Dragon,50
Pikachu,25,pikachu.png,25.png,35,55,40,50,50,90,320,Electric,Null,Mouse Pokemon,0.4,6,Static,Null,Lightning Rod,2 Spe,Ground,Fairy,50
Raichu,26,raichu.png,26.png,60,90,55,90,80,110,485,Electric,Null,Mouse Pokemon,0.8,30,Static,Null,Lightning Rod,3 Spe,Ground,Fairy,50
Raichu-alola,26,raichu-alola.png,26.png,60,85,50,95,85,110,485,Electric,Psychic,Mouse Pokemon,0.7,21,Static,Null,Lightning Rod,3 Spe,Ground,Fairy,50
Sandshrew,27,sandshrew.png,27.png,50,75,85,20,30,40,300,Ground,Null,Mouse Pokemon,0.6,12,Sand Veil,Null,Sand Rush,1 Def,Ground,Null,50
Sandshrew-alola,27,sandshrew-alola.png,27.png,50,75,90,10,35,40,300,Ice,Steel,Mouse Pokemon,0.7,40,Sand Veil,Null,Sand Rush,1 Def,Ground,Null,50
Sandslash,28,sandslash.png,28.png,75,100,110,45,55,65,450,Ground,Null,Mouse Pokemon,1,29.5,Sand Veil,Null,Sand Rush,2 Def,Ground,Null,50
Sandslash-alola,28,sandslash-alola.png,28.png,75,100,120,25,65,65,450,Ice,Steel,Mouse Pokemon,1.2,55,Sand Veil,Null,Sand Rush,2 Def,Ground,Null,50
Nidoran ♀,29,nidoran-f.png,29.png,55,47,52,40,40,41,275,Poison,Null,Poison Pin Pokemon,0.4,7,Poison Point,Rivalry,Hustle,1 HP,Monster,Ground,0
Nidorina,30,nidorina.png,30.png,70,62,67,55,55,56,365,Poison,Null,Poison Pin Pokemon,0.8,20,Poison Point,Rivalry,Hustle,2 HP,No-Eggs,Null,0
Nidoqueen,31,nidoqueen.png,31.png,90,92,87,75,85,76,505,Poison,Ground,Drill Pokemon,1.3,60,Poison Point,Rivalry,Sheer Force,3 HP,No-Eggs,Null,0
Nidoran♂,32,nidoran-m.png,32.png,46,57,40,40,40,50,273,Poison,Null,Poison Pin Pokemon,0.5,9,Poison Point,Rivalry,Hustle,1 Atk,Monster,Ground,100
Nidorino,33,nidorino.png,33.png,61,72,57,55,55,65,365,Poison,Null,Poison Pin Pokemon,0.9,19.5,Poison Point,Rivalry,Hustle,2 Atk,Monster,Ground,100
Nidoking,34,nidoking.png,34.png,81,102,77,85,75,85,505,Poison,Ground,Drill Pokemon,1.4,62,Poison Point,Rivalry,Sheer Force,3 Atk,Monster,Ground,100
Clefairy,35,clefairy.png,35.png,70,45,48,60,65,35,323,Fairy,Null,Fairy Pokemon,0.6,7.5,Cute Charm,Magic Guard,Friend Guard,2 HP,Fairy,Null,25
Clefable,36,clefable.png,36.png,95,70,73,95,90,60,483,Fairy,Null,Fairy Pokemon,1.3,40,Cute Charm,Magic Guard,Unaware,3 HP,Fairy,Null,25
Vulpix,37,vulpix.png,37.png,38,41,40,50,65,65,299,Fire,Null,Fox Pokemon,0.6,9.9,Flash Fire,Null,Drought,1 Spe,Ground,Null,25
Vulpix-alola,37,vulpix-alola.png,37.png,38,41,40,50,65,65,299,Ice,Null,Fox Pokemon,0.6,9.9,Flash Fire,Null,Drought,1 Spe,Ground,Null,25
Ninetales,38,ninetales.png,38.png,73,76,75,81,100,100,505,Fire,Null,Fox Pokemon,1.1,19.9,Flash Fire,Null,Drought,1 SpD/1 Spe,Ground,Null,25
Ninetales-alola,38,ninetales-alola.png,38.png,73,67,75,81,100,109,505,Ice,Fairy,Fox Pokemon,1.1,19.9,Flash Fire,Null,Drought,2 Spe,Ground,Null,25
Jigglypuff,39,jigglypuff.png,39.png,115,45,20,45,25,20,270,Normal,Fairy,Balloon Pokemon,0.5,5.5,Cute Charm,Competitive,Friend Guard,2 HP,Fairy,Null,25
Wigglytuff,40,wigglytuff.png,40.png,140,70,45,85,50,45,435,Normal,Fairy,Balloon Pokemon,1,12,Cute Charm,Competitive,Frisk,3 HP,Fairy,Null,25
Zubat,41,zubat.png,41.png,40,45,35,30,40,55,245,Poison,Flying,Bat Pokemon,0.8,7.5,Inner Focus,Null,Infiltrator,1 Spe,Flying,Null,50
Golbat,42,golbat.png,42.png,75,80,70,65,75,90,455,Poison,Flying,Bat Pokemon,1.6,55,Inner Focus,Null,Infiltrator,2 Spe,Flying,Null,50
Oddish,43,oddish.png,43.png,45,50,55,75,65,30,320,Grass,Poison,Weed Pokemon,0.5,5.4,Chlorophyll,Null,Run Away,1 SpA,Plant,Null,50
Gloom,44,gloom.png,44.png,60,65,70,85,75,40,395,Grass,Poison,Weed Pokemon,0.8,8.6,Chlorophyll,Null,Stench,2 SpA,Plant,Null,50
Vileplume,45,vileplume.png,45.png,75,80,85,110,90,50,490,Grass,Poison,Flower Pokemon,1.2,18.6,Chlorophyll,Null,Effect Spore,3 SpA,Plant,Null,50
Paras,46,paras.png,46.png,35,70,55,45,55,25,285,Bug,Grass,Mushroom Pokemon,0.3,5.4,Effect Spore,Dry Skin,Damp,1 Atk,Bug,Plant,50
Parasect,47,parasect.png,47.png,60,95,80,60,80,30,405,Bug,Grass,Mushroom Pokemon,1,29.5,Effect Spore,Dry Skin,Damp,2 Atk/1 Def,Bug,Plant,50
Venonat,48,venonat.png,48.png,60,55,50,40,55,45,305,Bug,Poison,Insect Pokemon,1,30,Compound Eyes,Tinted Lens,Run Away,1 SpD,Bug,Null,50
Venomoth,49,venomoth.png,49.png,70,65,60,90,75,90,450,Bug,Poison,Poison Moth Pokemon,1.5,12.5,Shield Dust,Tinted Lens,Wonder Skin,1 SpA/1 Spe,Bug,Null,50
Diglett,50,diglett.png,50.png,10,55,25,35,45,95,265,Ground,Null,Mole Pokemon,0.2,0.8,Sand Veil,Arena Trap,Sand Force,1 Spe,Ground,Null,50
Diglett-alola,50,diglett-alola.png,50.png,10,55,30,35,45,90,265,Ground,Steel,Mole Pokemon,0.2,1,Sand Veil,Arena Trap,Sand Force,1 Spe,Ground,Null,50
Dugtrio,51,dugtrio.png,51.png,35,100,50,50,70,120,425,Ground,Null,Mole Pokemon,0.7,33.3,Sand Veil,Arena Trap,Sand Force,2 Spe,Ground,Null,50
Dugtrio-alola,51,dugtrio-alola.png,51.png,35,100,60,50,70,110,425,Ground,Steel,Mole Pokemon,0.7,66.6,Sand Veil,Arena Trap,Sand Force,2 Atk,Ground,Null,50
Meowth,52,meowth.png,52.png,40,45,35,40,40,90,290,Normal,Null,Scratch Cat Pokemon,0.4,4.2,Pickup,Technician,Unnerve,1 Spe,Ground,Null,50
Meowth-alola,52,meowth-alola.png,52.png,40,35,35,50,40,90,290,Dark,Null,Scratch Cat Pokemon,0.4,4.2,Pickup,Technician,Unnerve,1 Spe,Ground,Null,50
Meowth-galar,52,meowth-galar.png,52.png,50,65,55,40,40,40,290,Steel,Null,Scratch Cat Pokemon,0.4,7.5,Pickup,Technician,Unnerve,1 Atk,Ground,Null,50
Persian,53,persian.png,53.png,65,70,60,65,65,115,440,Normal,Null,Classy Cat Pokemon,1,32,Limber,Technician,Unnerve,2 Spe,Ground,Null,50
Persian-alola,53,persian-alola.png,53.png,65,60,60,75,65,115,440,Dark,Null,Classy Cat Pokemon,1.1,33,Limber,Technician,Unnerve,2 Spe,Ground,Null,50
Psyduck,54,psyduck.png,54.png,50,52,48,65,50,55,320,Water,Null,Duck Pokemon,0.8,19.6,Damp,Cloud Nine,Swift Swim,1 SpA,Water1,Ground,50
Golduck,55,golduck.png,55.png,80,82,78,95,80,85,500,Water,Null,Duck Pokemon,1.7,76.6,Damp,Cloud Nine,Swift Swim,2 SpA,Water1,Ground,50
Mankey,56,mankey.png,56.png,40,80,35,35,45,70,305,Fighting,Null,Pig Monkey Pokemon,0.5,28,Vital Spirit,Anger Point,Defiant,1 Atk,Ground,Null,50
Primeape,57,primeape.png,57.png,65,105,60,60,70,95,455,Fighting,Null,Pig Monkey Pokemon,1,32,Vital Spirit,Anger Point,Defiant,2 Atk,Ground,Null,50
Growlithe,58,growlithe.png,58.png,55,70,45,70,50,60,350,Fire,Null,Puppy Pokemon,0.7,19,Intimidate,Flash Fire,Justified,1 Atk,Ground,Null,75
Growlithe-hisui,58,growlithe-hisui.png,58.png,60,75,45,65,50,55,350,Fire,Rock,Puppy Pokemon,0.8,22.7,Intimidate,Flash Fire,Justified,1 Atk,Ground,Null,75
Arcanine,59,arcanine.png,59.png,90,110,80,100,80,95,555,Fire,Null,Legendary Pokemon,1.9,155,Intimidate,Flash Fire,Justified,2 Atk,Ground,Null,75
Arcanine-hisui,59,arcanine-hisui.png,59.png,95,115,80,95,80,90,555,Fire,Rock,Legendary Pokemon,2,168,Intimidate,Flash Fire,Justified,2 Atk,Ground,Null,75
Poliwag,60,poliwag.png,60.png,40,50,40,40,40,90,300,Water,Null,Tadpole Pokemon,0.6,12.4,Water Absorb,Damp,Swift Swim,1 Spe,Water1,Null,50
Poliwhirl,61,poliwhirl.png,61.png,65,65,65,50,50,90,385,Water,Null,Tadpole Pokemon,1,20,Water Absorb,Damp,Swift Swim,2 Spe,Water1,Null,50
Poliwrath,62,poliwrath.png,62.png,90,95,95,70,90,70,510,Water,Fighting,Tadpole Pokemon,1.3,54,Water Absorb,Damp,Swift Swim,3 Def,Water1,Null,50
Abra,63,abra.png,63.png,25,20,15,105,55,90,310,Psychic,Null,Psi Pokemon,0.9,19.5,Synchronize,Inner Focus,Magic Guard,1 SpA,Humanshape,Null,75
Kadabra,64,kadabra.png,64.png,40,35,30,120,70,105,400,Psychic,Null,Psi Pokemon,1.3,56.5,Synchronize,Inner Focus,Magic Guard,2 SpA,Humanshape,Null,75
Alakazam,65,alakazam.png,65.png,55,50,45,135,95,120,500,Psychic,Null,Psi Pokemon,1.5,48,Synchronize,Inner Focus,Magic Guard,3 SpA,Humanshape,Null,75
Machop,66,machop.png,66.png,70,80,50,35,35,35,305,Fighting,Null,Superpower Pokemon,0.8,19.5,Guts,No Guard,Steadfast,1 Atk,Humanshape,Null,75
Machoke,67,machoke.png,67.png,80,100,70,50,60,45,405,Fighting,Null,Superpower Pokemon,1.5,70.5,Guts,No Guard,Steadfast,2 Atk,Humanshape,Null,75
Machamp,68,machamp.png,68.png,90,130,80,65,85,55,505,Fighting,Null,Superpower Pokemon,1.6,130,Guts,No Guard,Steadfast,3 Atk,Humanshape,Null,75
Bellsprout,69,bellsprout.png,69.png,50,75,35,70,30,40,300,Grass,Poison,Flower Pokemon,0.7,4,Chlorophyll,Null,Gluttony,1 Atk,Plant,Null,50
Weepinbell,70,weepinbell.png,70.png,65,90,50,85,45,55,390,Grass,Poison,Flycatcher Pokemon,1,6.4,Chlorophyll,Null,Gluttony,2 Atk,Plant,Null,50
Victreebel,71,victreebel.png,71.png,80,105,65,100,70,70,490,Grass,Poison,Flycatcher Pokemon,1.7,15.5,Chlorophyll,Null,Gluttony,3 Atk,Plant,Null,50
Tentacool,72,tentacool.png,72.png,40,40,35,50,100,70,335,Water,Poison,Jellyfish Pokemon,0.9,45.5,Clear Body,Liquid Ooze,Rain Dish,1 SpD,Water3,Null,50
Tentacruel,73,tentacruel.png,73.png,80,70,65,80,120,100,515,Water,Poison,Jellyfish Pokemon,1.6,55,Clear Body,Liquid Ooze,Rain Dish,2 SpD,Water3,Null,50
Geodude,74,geodude.png,74.png,40,80,100,30,30,20,300,Rock,Ground,Rock Pokemon,0.4,20,Rock Head,Sturdy,Sand Veil,1 Def,Mineral,Null,50
Geodude-alola,74,geodude-alola.png,74.png,40,80,100,30,30,20,300,Rock,Electric,Rock Pokemon,0.4,20.3,Rock Head,Sturdy,Sand Veil,1 Def,Mineral,Null,50
Graveler,75,graveler.png,75.png,55,95,115,45,45,35,390,Rock,Ground,Rock Pokemon,1,105,Rock Head,Sturdy,Sand Veil,2 Def,Mineral,Null,50
Graveler-alola,75,graveler-alola.png,75.png,55,95,115,45,45,35,390,Rock,Electric,Rock Pokemon,1,110,Rock Head,Sturdy,Sand Veil,2 Def,Mineral,Null,50
Golem,76,golem.png,76.png,80,120,130,55,65,45,495,Rock,Ground,Megaton Pokemon,1.4,300,Rock Head,Sturdy,Sand Veil,3 Def,Mineral,Null,50
Golem-alola,76,golem-alola.png,76.png,80,120,130,55,65,45,495,Rock,Electric,Megaton Pokemon,1.7,316,Rock Head,Sturdy,Sand Veil,3 Def,Mineral,Null,50
Ponyta,77,ponyta.png,77.png,50,85,55,65,65,90,410,Fire,Null,Fire Horse Pokemon,1,30,Run Away,Flash Fire,Flame Body,1 Spe,Ground,Null,50
Ponyta-galar,77,ponyta-galar.png,77.png,50,85,55,65,65,90,410,Psychic,Null,Fire Horse Pokemon,0.8,24,Run Away,Flash Fire,Flame Body,1 Spe,Ground,Null,50
Rapidash,78,rapidash.png,78.png,65,100,70,80,80,105,500,Fire,Null,Fire Horse Pokemon,1.7,95,Run Away,Flash Fire,Flame Body,2 Spe,Ground,Null,50
