Pokemon,Nat,teamSprite,homeSprite,HP,Atk,Def,SpA,SpD,Spe,Total,Type_I,Type_II,Species,Height_(m),Weight_(kg),Ability_I,Ability_II,Hidden_Ability,EV_Yield,Egg_Group_I,Egg_Group_II,Gender_(%_Male),Evolve
Bulbasaur,1,bulbasaur.png,1.png,45,49,49,65,65,45,318,Grass,Poison,Seed Pokémon,0.7,6.9,overgrow,null,chlorophyll,1 SpA,monster,plant,87.5,16
Ivysaur,2,ivysaur.png,2.png,60,62,63,80,80,60,405,Grass,Poison,Seed Pokémon,1,13,overgrow,null,chlorophyll,1 SpA/1 SpD,plant,monster,87.5,32
Venusaur,3,venusaur.png,3.png,80,82,83,100,100,80,525,Grass,Poison,Seed Pokémon,2,100,overgrow,null,chlorophyll,2 SpA/1 SpD,monster,plant,87.5,xx
Charmander,4,charmander.png,4.png,39,52,43,60,50,65,309,Fire,xx,Lizard Pokémon,0.6,8.5,blaze,null,solar-power,1 Spe,monster,dragon,87.5,16
Charmeleon,5,charmeleon.png,5.png,58,64,58,80,65,80,405,Fire,xx,Flame Pokémon,1.1,19,blaze,null,solar-power,1 SpA/1 Spe,monster,dragon,87.5,36
Charizard,6,charizard.png,6.png,78,84,78,109,85,100,534,Fire,Flying,Flame Pokémon,1.7,90.5,blaze,null,solar-power,3 SpA,monster,dragon,87.5,xx
Squirtle,7,squirtle.png,7.png,44,48,65,50,64,43,314,Water,xx,Tiny Turtle Pokémon,0.5,9,torrent,null,rain-dish,1 Def,monster,water1,87.5,16
Wartortle,8,wartortle.png,8.png,59,63,80,65,80,58,405,Water,xx,Turtle Pokémon,1,22.5,torrent,null,rain-dish,1 Def/1 SpD,monster,water1,87.5,36
Blastoise,9,blastoise.png,9.png,79,83,100,85,105,78,530,Water,xx,Shellfish Pokémon,1.6,85.5,torrent,null,rain-dish,3 SpD,monster,water1,87.5,xx
Caterpie,10,caterpie.png,10.png,45,30,35,20,20,45,195,Bug,xx,Worm Pokémon,0.3,2.9,shield-dust,null,run-away,1 HP,bug,null,50,7
Metapod,11,metapod.png,11.png,50,20,55,25,25,30,205,Bug,xx,Cocoon Pokémon,0.7,9.9,shed-skin,null,null,2 Def,bug,null,50,10
Butterfree,12,butterfree.png,12.png,60,45,50,90,80,70,395,Bug,Flying,Butterfly Pokémon,1.1,32,compound-eyes,null,tinted-lens,2 SpA/1 SpD,bug,null,50,xx
Weedle,13,weedle.png,13.png,40,35,30,20,20,50,195,Bug,Poison,Hairy Bug Pokémon,0.3,3.2,shield-dust,null,run-away,1 Spe,bug,null,50,7
Kakuna,14,kakuna.png,14.png,45,25,50,25,25,35,205,Bug,Poison,Cocoon Pokémon,0.6,10,shed-skin,null,null,2 Def,bug,null,50,10
Beedrill,15,beedrill.png,15.png,65,90,40,45,80,75,395,Bug,Poison,Poison Bee Pokémon,1,29.5,swarm,null,sniper,2 Atk/1 SpD,bug,null,50,xx
Pidgey,16,pidgey.png,16.png,40,45,40,35,35,56,251,Normal,Flying,Tiny Bird Pokémon,0.3,1.8,keen-eye,tangled-feet,big-pecks,1 Spe,flying,null,50,18
Pidgeotto,17,pidgeotto.png,17.png,63,60,55,50,50,71,349,Normal,Flying,Bird Pokémon,1.1,30,keen-eye,tangled-feet,big-pecks,2 Spe,flying,null,50,36
Pidgeot,18,pidgeot.png,18.png,83,80,75,70,70,101,479,Normal,Flying,Bird Pokémon,1.5,39.5,keen-eye,tangled-feet,big-pecks,3 Spe,flying,null,50,xx
Rattata,19,rattata.png,19.png,30,56,35,25,35,72,253,Normal,xx,Mouse Pokémon,0.3,3.5,run-away,guts,hustle,1 Spe,ground,null,50,20
Rattata-alola,19,rattata-alola.png,19.png,30,56,35,25,35,72,253,Dark,Normal,Mouse Pokémon,0.3,3.8,run-away,guts,hustle,1 Spe,ground,null,50,20 PM
Raticate,20,raticate.png,20.png,55,81,60,50,70,97,413,Normal,xx,Mouse Pokémon,0.7,18.5,run-away,guts,hustle,2 Spe,ground,null,50,xx
Raticate-alola,20,raticate-alola.png,20.png,75,71,70,40,80,77,413,Dark,Normal,Mouse Pokémon,0.7,25.5,run-away,guts,hustle,2 Spe,ground,null,50,xx
Spearow,21,spearow.png,21.png,40,60,30,31,31,70,262,Normal,Flying,Tiny Bird Pokémon,0.3,2,keen-eye,null,sniper,1 Spe,flying,null,50,20
Fearow,22,fearow.png,22.png,65,90,65,61,61,100,442,Normal,Flying,Beak Pokémon,1.2,38,keen-eye,null,sniper,2 Spe,flying,null,50,xx
Ekans,23,ekans.png,23.png,35,60,44,40,54,55,288,Poison,xx,Snake Pokémon,2,6.9,intimidate,shed-skin,unnerve,1 Atk,ground,dragon,50,22
Arbok,24,arbok.png,24.png,60,95,69,65,79,80,448,Poison,xx,Cobra Pokémon,3.5,65,intimidate,shed-skin,unnerve,2 Atk,ground,dragon,50,xx
Pikachu,25,pikachu.png,25.png,35,55,40,50,50,90,320,Electric,xx,Mouse Pokémon,0.4,6,static,null,lightning-rod,2 Spe,ground,fairy,50,Stone
Raichu,26,raichu.png,26.png,60,90,55,90,80,110,485,Electric,xx,Mouse Pokémon,0.8,30,static,null,lightning-rod,3 Spe,ground,fairy,50,xx
Raichu-alola,26,raichu-alola.png,26.png,60,85,50,95,85,110,485,Electric,Psychic,Mouse Pokémon,0.7,21,static,null,lightning-rod,3 Spe,ground,fairy,50,xx
Sandshrew,27,sandshrew.png,27.png,50,75,85,20,30,40,300,Ground,xx,Mouse Pokémon,0.6,12,sand-veil,null,sand-rush,1 Def,ground,null,50,22
Sandshrew-alola,27,sandshrew-alola.png,27.png,50,75,90,10,35,40,300,Ice,Steel,Mouse Pokémon,0.7,40,sand-veil,null,sand-rush,1 Def,ground,null,50,Stone
Sandslash,28,sandslash.png,28.png,75,100,110,45,55,65,450,Ground,xx,Mouse Pokémon,1,29.5,sand-veil,null,sand-rush,2 Def,ground,null,50,xx
Sandslash-alola,28,sandslash-alola.png,28.png,75,100,120,25,65,65,450,Ice,Steel,Mouse Pokémon,1.2,55,sand-veil,null,sand-rush,2 Def,ground,null,50,xx
Nidoran ♀,29,nidoran-f.png,29.png,55,47,52,40,40,41,275,Poison,xx,Poison Pin Pokémon,0.4,7,poison-point,rivalry,hustle,1 HP,monster,ground,0,16
Nidorina,30,nidorina.png,30.png,70,62,67,55,55,56,365,Poison,xx,Poison Pin Pokémon,0.8,20,poison-point,rivalry,hustle,2 HP,no-eggs,null,0,Stone
Nidoqueen,31,nidoqueen.png,31.png,90,92,87,75,85,76,505,Poison,Ground,Drill Pokémon,1.3,60,poison-point,rivalry,sheer-force,3 HP,no-eggs,null,0,xx
Nidoran♂,32,nidoran-m.png,32.png,46,57,40,40,40,50,273,Poison,xx,Poison Pin Pokémon,0.5,9,poison-point,rivalry,hustle,1 Atk,monster,ground,100,16
Nidorino,33,nidorino.png,33.png,61,72,57,55,55,65,365,Poison,xx,Poison Pin Pokémon,0.9,19.5,poison-point,rivalry,hustle,2 Atk,monster,ground,100,Stone
Nidoking,34,nidoking.png,34.png,81,102,77,85,75,85,505,Poison,Ground,Drill Pokémon,1.4,62,poison-point,rivalry,sheer-force,3 Atk,monster,ground,100,xx
Clefairy,35,clefairy.png,35.png,70,45,48,60,65,35,323,Fairy,xx,Fairy Pokémon,0.6,7.5,cute-charm,magic-guard,friend-guard,2 HP,fairy,null,25,Stone
Clefable,36,clefable.png,36.png,95,70,73,95,90,60,483,Fairy,xx,Fairy Pokémon,1.3,40,cute-charm,magic-guard,unaware,3 HP,fairy,null,25,xx
Vulpix,37,vulpix.png,37.png,38,41,40,50,65,65,299,Fire,xx,Fox Pokémon,0.6,9.9,flash-fire,null,drought,1 Spe,ground,null,25,Stone
Vulpix-alola,37,vulpix-alola.png,37.png,38,41,40,50,65,65,299,Ice,xx,Fox Pokémon,0.6,9.9,flash-fire,null,drought,1 Spe,ground,null,25,Stone
Ninetales,38,ninetales.png,38.png,73,76,75,81,100,100,505,Fire,xx,Fox Pokémon,1.1,19.9,flash-fire,null,drought,1 SpD/1 Spe,ground,null,25,xx
Ninetales-alola,38,ninetales-alola.png,38.png,73,67,75,81,100,109,505,Ice,Fairy,Fox Pokémon,1.1,19.9,flash-fire,null,drought,2 Spe,ground,null,25,xx
Jigglypuff,39,jigglypuff.png,39.png,115,45,20,45,25,20,270,Normal,Fairy,Balloon Pokémon,0.5,5.5,cute-charm,competitive,friend-guard,2 HP,fairy,null,25,Stone
Wigglytuff,40,wigglytuff.png,40.png,140,70,45,85,50,45,435,Normal,Fairy,Balloon Pokémon,1,12,cute-charm,competitive,frisk,3 HP,fairy,null,25,xx
Zubat,41,zubat.png,41.png,40,45,35,30,40,55,245,Poison,Flying,Bat Pokémon,0.8,7.5,inner-focus,null,infiltrator,1 Spe,flying,null,50,22
Golbat,42,golbat.png,42.png,75,80,70,65,75,90,455,Poison,Flying,Bat Pokémon,1.6,55,inner-focus,null,infiltrator,2 Spe,flying,null,50,Friendship
Oddish,43,oddish.png,43.png,45,50,55,75,65,30,320,Grass,Poison,Weed Pokémon,0.5,5.4,chlorophyll,null,run-away,1 SpA,plant,null,50,21
Gloom,44,gloom.png,44.png,60,65,70,85,75,40,395,Grass,Poison,Weed Pokémon,0.8,8.6,chlorophyll,null,stench,2 SpA,plant,null,50,Stone
Vileplume,45,vileplume.png,45.png,75,80,85,110,90,50,490,Grass,Poison,Flower Pokémon,1.2,18.6,chlorophyll,null,effect-spore,3 SpA,plant,null,50,xx
Paras,46,paras.png,46.png,35,70,55,45,55,25,285,Bug,Grass,Mushroom Pokémon,0.3,5.4,effect-spore,dry-skin,damp,1 Atk,bug,plant,50,24
Parasect,47,parasect.png,47.png,60,95,80,60,80,30,405,Bug,Grass,Mushroom Pokémon,1,29.5,effect-spore,dry-skin,damp,2 Atk/1 Def,bug,plant,50,xx
Venonat,48,venonat.png,48.png,60,55,50,40,55,45,305,Bug,Poison,Insect Pokémon,1,30,compound-eyes,tinted-lens,run-away,1 SpD,bug,null,50,31
Venomoth,49,venomoth.png,49.png,70,65,60,90,75,90,450,Bug,Poison,Poison Moth Pokémon,1.5,12.5,shield-dust,tinted-lens,wonder-skin,1 SpA/1 Spe,bug,null,50,xx
Diglett,50,diglett.png,50.png,10,55,25,35,45,95,265,Ground,xx,Mole Pokémon,0.2,0.8,sand-veil,arena-trap,sand-force,1 Spe,ground,null,50,26
Diglett-alola,50,diglett-alola.png,50.png,10,55,30,35,45,90,265,Ground,Steel,Mole Pokémon,0.2,1,sand-veil,arena-trap,sand-force,1 Spe,ground,null,50,26
Dugtrio,51,dugtrio.png,51.png,35,100,50,50,70,120,425,Ground,xx,Mole Pokémon,0.7,33.3,sand-veil,arena-trap,sand-force,2 Spe,ground,null,50,xx
Dugtrio-alola,51,dugtrio-alola.png,51.png,35,100,60,50,70,110,425,Ground,Steel,Mole Pokémon,0.7,66.6,sand-veil,arena-trap,sand-force,2 Atk,ground,null,50,xx
Meowth,52,meowth.png,52.png,40,45,35,40,40,90,290,Normal,xx,Scratch Cat Pokémon,0.4,4.2,pickup,technician,unnerve,1 Spe,ground,null,50,28
Meowth-alola,52,meowth-alola.png,52.png,40,35,35,50,40,90,290,Dark,xx,Scratch Cat Pokémon,0.4,4.2,pickup,technician,unnerve,1 Spe,ground,null,50,Friendship
Meowth-galar,52,meowth-galar.png,52.png,50,65,55,40,40,40,290,Steel,xx,Scratch Cat Pokémon,0.4,7.5,pickup,technician,unnerve,1 Atk,ground,null,50,28
Persian,53,persian.png,53.png,65,70,60,65,65,115,440,Normal,xx,Classy Cat Pokémon,1,32,limber,technician,unnerve,2 Spe,ground,null,50,xx
Persian-alola,53,persian-alola.png,53.png,65,60,60,75,65,115,440,Dark,xx,Classy Cat Pokémon,1.1,33,limber,technician,unnerve,2 Spe,ground,null,50,xx
Psyduck,54,psyduck.png,54.png,50,52,48,65,50,55,320,Water,xx,Duck Pokémon,0.8,19.6,damp,cloud-nine,swift-swim,1 SpA,water1,ground,50,33
Golduck,55,golduck.png,55.png,80,82,78,95,80,85,500,Water,xx,Duck Pokémon,1.7,76.6,damp,cloud-nine,swift-swim,2 SpA,water1,ground,50,xx
Mankey,56,mankey.png,56.png,40,80,35,35,45,70,305,Fighting,xx,Pig Monkey Pokémon,0.5,28,vital-spirit,anger-point,defiant,1 Atk,ground,null,50,28
Primeape,57,primeape.png,57.png,65,105,60,60,70,95,455,Fighting,xx,Pig Monkey Pokémon,1,32,vital-spirit,anger-point,defiant,2 Atk,ground,null,50,Move
Growlithe,58,growlithe.png,58.png,55,70,45,70,50,60,350,Fire,xx,Puppy Pokémon,0.7,19,intimidate,flash-fire,justified,1 Atk,ground,null,75,Stone
